name,released,genres,metacritic,platforms
Fable: The Lost Chapters,2005-09-01,"Adventure, Action, RPG",83,"PC, macOS, Xbox"
Dungeon Siege 2,2005-08-16,"Action, RPG",80,PC
Neverwinter Nights Diamond,2005-11-02,"Adventure, RPG",,PC
Sacred Gold,2005-08-12,"Action, RPG",,PC
Shadow of the Colossus,2005-10-18,"Adventure, Action, RPG",91,PlayStation 2
SpellForce - Platinum Edition,2005-11-14,"Strategy, Action, RPG",74,PC
Freedom Force vs. the Third Reich,2005-05-29,"Strategy, Action, RPG",86,PC
Ys: The Oath in Felghana,2005-06-30,"Adventure, Action, RPG",73,"PC, PSP"
Kingdom Hearts II,2005-12-22,"Action, RPG",87,PlayStation 2
Star Wolves,2005-11-17,"Strategy, RPG",,PC
Sudeki,2005-03-24,"Adventure, Action, RPG",72,"PC, Xbox"
Geneforge 3,2005-03-28,"Strategy, Indie, RPG",,"PC, macOS"
Fate (2005),2005-05-01,"Adventure, Action, RPG",80,PC
Desert Law,2005-04-28,"Strategy, RPG",,PC
Dungeons & Dragons: Dragonshard,2005-09-24,"Strategy, RPG",,PC
Pathologic,2005-06-09,"Adventure, RPG",,PC
Castlevania: Dawn of Sorrow,2005-10-04,"Platformer, Action, RPG",89,Nintendo DS
Pokémon Mystery Dungeon: Blue Rescue Team,2005-11-17,RPG,,"Nintendo DS, Wii U, Game Boy Advance"
Fire Emblem: Path of Radiance,2005-04-20,"Strategy, RPG",85,GameCube
Dungeon Lords,2005-05-05,RPG,,PC
